kanji,num,meanings,radicals,kanji_in_theme_meaning,theme,subtheme
恭,407,respect:reverent,八心井,respect,Emotions_and_Senses,Emotions
胸,408,bosom:breast:chest:heart:feelings,丶丿凵勹月,chest,Body,Torso_and_organs
脅,409,threaten:coerce,力月,,,
強,410,strong,厶弓虫,strong,Physical_Attributes_and_Properties,Miscellaneous_properties
教,411,teach:faith:doctrine,子攴老,doctrine or teaching,Human_activities,Religion_and_the_Supernatural_World
郷,412,home town:village:native place:district,幺艮.阝,,,
境,413,boundary:border:region,儿土日立音,boundary,Physical_Attributes_and_Properties,Form_and_Shape
橋,414,bridge,丿冂口木,,,
矯,415,rectify:straighten:correct:reform:cure:control:pretend:falsify,丿冂口大矢,,,
鏡,416,mirror:speculum:barrel-head:round rice-cake offering,儿日立金音,mirror,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
競,417,emulate:compete with:bid:sell at auction:bout:contest:race,儿口立,,,
響,418,echo:sound:resound:ring:vibrate,幺日立艮音.阝,,,
驚,419,wonder:be surprised:frightened:amazed,勹口夂攴馬艹,surprise,Emotions_and_Senses,Emotions
仰,420,face-up:look up:depend:seek:respect:rever:drink:take,卩亻,,,
暁,421,daybreak:dawn:in the event,儿十廾日,sunrise,Time,Divisions_of_the_Day
業,422,business:vocation:arts:performance,｜木玉羊耒丷,"business, industry",Human_activities,Money_and_Commerce
凝,423,congeal:freeze:stiff:be absorbed in,冫匕疋矢マ,,,
曲,424,bend:music:melody:composition:pleasure:injustice:fault:curve:crooked:perverse:lean,｜日,musical composition,Human_activities,Culture
局,425,bureau:board:office:affair:conclusion:court lady:lady-in-waiting:her apartment,口尸,,,
極,426,poles:settlement:conclusion:end:highest rank:electric poles:very:extremely:most:highly:10**48,又口木,,,
玉,427,jewel:ball,丶,jewel,Nature,Natural_Substances
巾,428,towel:hanging scroll:width:cloth radical (no. 50),｜冂,towel,Artificial_Structures_and_Products,Clothing_and_Textiles
斤,429,axe:1.32 lb:catty:counter for loaves of bread:axe radical (no. 69),,axe,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
均,430,level:average,二冫勹土,,,
近,431,near:early:akin:tantamount,斤辶,recent,Time,
金,432,gold,,gold,Human_activities,Money_and_Commerce
菌,433,germ:fungus:bacteria,囗禾艹,,,
勤,434,diligence:become employed:serve,力口土艹,,,
琴,435,harp:koto,玉个,"cithare, harp",Human_activities,Culture
筋,436,muscle:sinew:tendon:fiber:plot:plan:descent,力月竹,muscles,Body,Body_General
僅,437,a wee bit,口土亻艹,,,
禁,438,prohibition:ban:forbid,木示,,,
緊,439,tense:solid:hard:reliable:tight,又糸臣,,,
錦,440,brocade:fine dress:honors,巾白金,brocade,Artificial_Structures_and_Products,Clothing_and_Textiles
謹,441,discreet:reverently:humbly,口土言艹,,,
襟,442,collar:neck:lapel:one's inner feelings,木示衤,collar,Artificial_Structures_and_Products,Clothing_and_Textiles
吟,443,versify:singing:recital,口个,recite,Human_activities,Language_and_Communication
銀,444,silver,艮金,silver,Nature,Natural_Substances
区,445,ward:district,丶丿匚,ward,Artificial_Structures_and_Products,Cities
句,446,phrase:clause:sentence:passage:paragraph:counter for haiku,勹口,phrase,Human_activities,Language_and_Communication
苦,447,suffering:trial:worry:hardship:feel bitter:scowl,十口艹,,,
駆,448,drive:run:gallop:advance:inspire:impel,丶丿匚馬,,,
具,449,"tool:utensil:means:possess:ingredients:counter for armor, suits, sets of furniture",八目,tool,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
惧,450,fear:be afraid of:dread,八目忄,dread,Emotions_and_Senses,Emotions
愚,451,foolish:folly:absurdity:stupid,冂厶心田禸,,,
空,452,empty:sky:void:vacant:vacuum,儿宀工穴,"void, sky",Nature,Sky
偶,453,accidentally:even number:couple:man & wife:same kind,冂厶田禸亻,,,
遇,454,meet:encounter:interview:treat:entertain:receive:deal with,冂厶田禸辶,,,
隅,455,corner:nook,冂厶日田禸阝.,corner,Physical_Attributes_and_Properties,Form_and_Shape
串,456,spit:skewer,｜口,skewer,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
屈,457,yield:bend:flinch:submit,｜尸山,,,
掘,458,dig:delve:excavate,｜尸山扌,,,
窟,459,cavern,｜儿宀尸山穴,cave,Nature,Land_and_Topography
熊,460,bear,匕厶月灬,bear,Nature,Animals
繰,461,winding:reel:spin:turn (pages):look up:refer to,口木糸品,,,
君,462,mister:you:ruler:male name suffix,丿口日,you,People,General
訓,463,instruction:Japanese character reading:explanation:read,巛言,,,
勲,464,meritorious deed:merit,｜丿力日田灬,,,
薫,465,send forth fragrance:fragrant:be scented:smoke (tobacco),｜丿日艹灬,,,
軍,466,army:force:troops:war:battle,冖車,,,
郡,467,county:district,口.阝,,,
群,468,flock:group:crowd:herd:swarm:cluster,口玉羊丷,"flock, crowd",People,Groups
兄,469,elder brother:big brother,儿口,older brother,People,Family
刑,470,punish:penalty:sentence:punishment,丿廾刂,,,
形,471,shape:form:style,丿廾彡,,,
系,472,lineage:system,丿糸,,,
径,473,diameter:path:method,又土彳,,,
茎,474,stalk:stem,又土艹,stem,Nature,Plants_and_Trees
係,475,person in charge:connection:duty:concern oneself,丿糸亻,person in charge,People,Roles_and_status
型,476,mould:type:model,丿土廾刂,,,
契,477,pledge:promise:vow,亠刀土大,,,
計,478,plot:plan:scheme:measure,十言,,,
恵,479,favor:blessing:grace:kindness,心田,,,
啓,480,disclose:open:say,口戸攴,,,
掲,481,put up (a notice):put up:hoist:display:hang out:publish:describe,勹匕日扌,,,
渓,482,mountain stream:valley,人土爪氵,ravine,Nature,Land_and_Topography
経,483,sutra:longitude:pass thru:expire:warp,又土糸,,,
蛍,484,lightning-bug:firefly,冖虫尚,firefly,Nature,Animals
敬,485,awe:respect:honor:revere,勹口攴艹,respect,Emotions_and_Senses,Emotions
景,486,scenery:view,亠口小日,,,
軽,487,lightly:trifling:unimportant,又土車,light (weight),Physical_Attributes_and_Properties,Miscellaneous_properties
傾,488,lean:incline:tilt:trend:wane:sink:ruin:bias,匕貝頁亻,,,
携,489,portable:carry (in hand):armed with:bring along,丿隹乃扌,,,
継,490,inherit:succeed:continue:patch:graft (tree),｜米糸,,,
詣,491,visit a temple:arrive:attain,匕日言,temple visit,Human_activities,Religion_and_the_Supernatural_World
慶,492,jubilation:congratulate:rejoice:be happy,冖夂广心,jubilation,Emotions_and_Senses,Emotions
憬,493,yearn for:aspire to:admire,亠口小日忄,yearning,Emotions_and_Senses,Emotions
稽,494,think:consider,匕日禾尤,,,
憩,495,recess:rest:relax:repose,口心自舌,,,
警,496,admonish:commandment,勹口夂攴言艹,,,
鶏,497,chicken,人土大爪鳥,chicken,Nature,Animals
芸,498,technique:art:craft:performance:acting:trick:stunt,二厶艹,art,Human_activities,Culture
迎,499,welcome:meet:greet,卩辶,,,
鯨,500,whale,亠口小田魚灬,whale,Nature,Animals
隙,501,crevice:fissure:discord:opportunity:leisure,小日阝.,,,
劇,502,drama:play,匕卜厂虍豕刂,"drama, play",Human_activities,Culture
撃,503,beat:attack:defeat:conquer,手殳車,"beat, attack",Human_activities,War
激,504,violent:get excited:enraged:chafe:incite,攴方白氵,violent excitement,Emotions_and_Senses,Emotions
桁,505,beam:girder:spar:unit or column (accounting),彳木行,digit,Numbers,Counting_&_Sequence
欠,506,lack:gap:fail:yawning radical (no. 76),人勹,,,
穴,507,hole:aperture:slit:cave:den,八宀,,,
血,508,blood,皿,blood,Body,Body_General
決,509,decide:fix:agree upon:appoint,二人大氵,,,
結,510,tie:bind:contract:join:organize:do up hair:fasten,口士糸,,,
傑,511,greatness:excellence,夕木舛亻,great man,People,Roles_and_status
潔,512,undefiled:pure:clean:righteous:gallant,亠刀土糸氵,,,
月,513,month:moon,,moon,Nature,Sky
犬,514,dog,丶大,dog,Nature,Animals
件,515,affair:case:matter:item,牛亻,,,
見,516,see:hopes:chances:idea:opinion:look at:visible,儿目,,,
券,517,ticket,二人刀大大丷,,,
肩,518,shoulder,戸月,shoulder,Body,Limbs
建,519,build,廴聿,,,
研,520,polish:study of:sharpen,｜丿亅口廾石,"study, research",Human_activities,Culture
県,521,prefecture,小目,,,
倹,522,frugal:economy:thrifty,人口个亻,,,
兼,523,concurrently:and:beforehand:in advance,｜八彐丷,,,
剣,524,sabre:sword:blade:clock hand,人口个刂,,,
拳,525,fist,大手丷,fist,Body,Limbs
軒,526,flats:counter for houses:eaves,干車,counter for houses,Numbers,Counters
健,527,healthy:health:strength:persistence,廴聿亻,,,
険,528,precipitous:inaccessible place:impregnable position:steep place:sharp eyes,人口个阝.,,,
圏,529,sphere:circle:radius:range,二人囗大大己丷,sphere,Physical_Attributes_and_Properties,Form_and_Shape
堅,530,strict:hard:solid:tough:tight:reliable,又土臣,,,
検,531,examination:investigate,人口木个,,,
嫌,532,dislike:detest:hate,｜八女彐丷,dislike,Emotions_and_Senses,Emotions
献,533,offering:counter for drinks:present:offer,冂十干犬丷,,,
絹,534,silk,口月糸,silk,Artificial_Structures_and_Products,Clothing_and_Textiles
遣,535,dispatch:despatch:send:give:donate:do:undertake,｜口辶,,,
権,536,authority:power:rights,木矢隹,,,
憲,537,constitution:law,亠土宀心网,,,
賢,538,intelligent:wise:wisdom:cleverness,又臣貝,,,
謙,539,self-effacing:humble oneself:condescend:be modest,｜八彐言丷,,,
鍵,540,key,廴聿金,key,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
繭,541,cocoon,冂糸虫風艹,,,
顕,542,appear:existing,日貝頁,,,
験,543,verification:effect:testing,人口馬个,,,
懸,544,state of suspension:hang:depend:consult:distant:far apart,丿小心目糸,,,
元,545,beginning:former time:origin,二儿,,,
幻,546,phantasm:vision:dream:illusion:apparition,幺,phantom,Human_activities,Religion_and_the_Supernatural_World
玄,547,mysterious:occultness:black:deep:profound,亠幺,,,
言,548,say:word,,say,Human_activities,Language_and_Communication
弦,549,bowstring:chord:hypotenuse,亠幺弓玄,string,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
限,550,limit:restrict:to best of ability,艮阝.,,,
原,551,meadow:original:primitive:field:plain:prairie:tundra:wilderness,厂小白,field,Nature,Land_and_Topography
現,552,present:existing:actual,玉見,,,
舷,553,gunwale,亠幺玄舟,sides of a boat,Artificial_Structures_and_Products,Vehicles_and_Machines
減,554,dwindle:decrease:reduce:decline:curtail:get hungry,亅口戈氵,"to decrease, to subtract",Numbers,Calculations
源,555,source:origin,厂小白氵,,,
厳,556,stern:strictness:severity:rigidity,厂攴耳尚,,,
己,557,self,,oneself,People,General
戸,558,door:counter for houses:door radical (no. 63),,counter for houses,Numbers,Counters
古,559,old,十口,old,Time,
呼,560,call:call out to:invite,丿亅口丷,,,
固,561,harden:set:clot:curdle,十口囗,firm or solid,Physical_Attributes_and_Properties,Miscellaneous_properties
股,562,thigh:crotch,月殳,thighs,Body,Limbs
虎,563,tiger:drunkard,儿匕卜厂虍,tiger,Nature,Animals
孤,564,orphan:alone,子瓜,,,
弧,565,arc:arch:bow,弓瓜,arc,Physical_Attributes_and_Properties,Form_and_Shape
故,566,happenstance:especially:intentionally:reason:cause:circumstances:the late:therefore:consequently,十口攴,,,
枯,567,wither:die:dry up:be seasoned,十口木,,,
個,568,individual:counter for articles,十口囗亻,counter for articles,Numbers,Counters
庫,569,warehouse:storehouse,广車,,,
湖,570,lake,十口月氵,lake,Nature,Land_and_Topography
雇,571,employ:hire,戸隹,,,
誇,572,boast:be proud:pride:triumphantly,二勹大言,,,
鼓,573,drum:beat:rouse:muster,十又口士支豆丷,drum,Human_activities,Culture
錮,574,confinement:to tie,十口囗金,,,
顧,575,look back:review:examine oneself:turn around,戸貝隹頁,,,
五,576,five,二,5,Numbers,
互,577,mutually:reciprocally:together,彐彑,,,
午,578,noon:sign of the horse:11AM-1PM:seventh sign of Chinese zodiac,丿十干,noon,Time,Divisions_of_the_Day
呉,579,give:do something for:kingdom of Wu,八口,,,
後,580,behind:back:later,夂幺彳,after,Time,
娯,581,recreation:pleasure,八口女,fun,Emotions_and_Senses,Emotions
悟,582,enlightenment:perceive:discern:realize:understand,口忄,,,
碁,583,Go,｜二八口石,,,
語,584,word:speech:language,口言,,,
誤,585,mistake:err:do wrong:mislead,八口言,,,
護,586,safeguard:protect,又言隹艹,,,
口,587,mouth,囗,mouth,Body,Head_and_Neck
工,588,craft:construction:katakana e radical (no. 48),,manufacture,Human_activities,Money_and_Commerce
公,589,public:prince:official:governmental,八厶,,,
勾,590,be bent:slope:capture,勹厶,,,
孔,591,cavity:hole:slit:very:great:exceedingly,乙子,,,
功,592,achievement:merits:success:honor:credit,力工,,,
巧,593,adroit:skilled:ingenuity,勹工,,,
広,594,wide:broad:spacious,厶广,wide,Physical_Attributes_and_Properties,Form_and_Shape
甲,595,armor:high (voice):A grade:first class:former:instep:carapace,｜日田,,,
交,596,mingle:mixing:association:coming & going,亠父,,,
光,597,ray:light,儿尚,light,Nature,Weather
向,598,yonder:facing:beyond:confront:defy:tend toward:approach,冂口,toward,Directions_and_Spatial_Relationships,
后,599,empress:queen:after:behind:back:later,丿亅厂口斤,empress,People,Roles_and_status
好,600,fond:pleasing:like something,女子,like,Emotions_and_Senses,Emotions
江,601,creek:inlet:bay,工氵,creek,Nature,Land_and_Topography
考,602,consider:think over,老,to think,Emotions_and_Senses,Judgment
行,603,going:journey:carry out:conduct:act:line:row:bank,彳,to go or to perform,Directions_and_Spatial_Relationships,Movement
坑,604,pit:hole,亠几土,,,
孝,605,filial piety:child's respect,子老,,,
抗,606,confront:resist:defy:oppose,亠几扌,,,
攻,607,aggression:attack:criticize:polish,工攴,attack,Human_activities,War
更,608,grow late:night watch:sit up late:of course:renew:renovate:again:more and more:further,丿日,,,
効,609,merit:efficacy:efficiency:benefit,亠力父,,,
幸,610,happiness:blessing:fortune,亠十立辛,happy,Emotions_and_Senses,Emotions
拘,611,arrest:seize:concerned:adhere to:despite,勹口扌,,,
肯,612,agreement:consent:comply with,月止,,,
侯,613,marquis:lord:daimyo,矢亻,"lord, marquis",People,Roles_and_status
厚,614,thick:heavy:rich:kind:cordial:brazen:shameless,厂子日,thick,Physical_Attributes_and_Properties,Miscellaneous_properties
恒,615,constancy:always,日忄,,,
洪,616,deluge:flood:vast,｜二八氵,flood,Nature,Weather
皇,617,emperor,玉白,emperor or sovereign,People,Roles_and_status
紅,618,crimson:deep red,工糸,crimson,Physical_Attributes_and_Properties,Colours
荒,619,laid waste:rough:rude:wild,巛艹亡,,,
郊,620,outskirts:suburbs:rural area,亠父.阝,,,
香,621,incense:smell:perfume,日禾,pleasant smell,Emotions_and_Senses,Senses
候,622,climate:season:weather:wait for:expect,｜矢亻,climate,Nature,Weather
校,623,exam:school:printing:proof:correction,亠木父,school,Human_activities,Culture
耕,624,till:plow:cultivate,｜亅八土木耒井,,,
航,625,navigate:sail:cruise:fly,亠几舟,,,
貢,626,tribute:support:finance,工貝,,,
降,627,descend:precipitate:fall:surrender,十夂阝.,,,
高,628,tall:high:expensive,亠冂口,expensive,Human_activities,Money_and_Commerce
康,629,ease:peace,广彐水隶,,,
控,630,withdraw:draw in:hold back:refrain from:be moderate,儿宀工穴扌,,,
梗,631,for the most part:close up:flower stem,丿日木,,,
黄,632,yellow,八田,yellow,Physical_Attributes_and_Properties,Colours
喉,633,throat:voice,口矢亻,throat,Body,Head_and_Neck
慌,634,disconcerted:be confused:lose one's head,亠巛忄艹,disconcerting,Emotions_and_Senses,Emotions
港,635,harbor,八己氵井,,,
硬,636,stiff:hard,丿口日石,hard,Physical_Attributes_and_Properties,Miscellaneous_properties
絞,637,strangle:constrict:wring,亠父糸,,,
項,638,paragraph:nape of neck:clause:item:term (expression),工貝頁,,,
溝,639,gutter:ditch:sewer:drain:10**32,冂十氵,,,
鉱,640,mineral:ore,厶广金,ore,Nature,Natural_Substances
構,641,posture:build:pretend,冂十木,,,
綱,642,hawser:class (genus):rope:cord:cable,冂山糸丷岡,rope,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
酵,643,fermentation,子老酉,,,
稿,644,draft:copy:manuscript:straw,亠冂口禾高,,,
興,645,entertain:revive:retrieve:interest:pleasure,八冂口臼,,,
衡,646,equilibrium:measuring rod:scale,勹大彳田行,,,
鋼,647,steel,冂山金丷岡,steel,Nature,Natural_Substances
講,648,lecture:club:association,冂十言,lecture,Human_activities,Language_and_Communication
購,649,subscription:buy,｜冂十貝,purchase,Human_activities,Money_and_Commerce
乞,650,beg:invite:ask,丿乙,,,
号,651,nickname:number:item:title:pseudonym:name:call,勹口,,,
合,652,fit:suit:join:0.1,口个,,,
拷,653,torture:beat,老扌,,,
剛,654,sturdy:strength,冂山丷刂岡,,,
傲,655,be proud,土攴方亻,pride,Emotions_and_Senses,Emotions
豪,656,overpowering:great:powerful:excelling:Australia,亠冖口豕,,,
克,657,overcome:kindly:skillfully,儿十口,,,
告,658,revelation:tell:inform:announce,丿口土,tell,Human_activities,Language_and_Communication
谷,659,valley,八口个,valley,Nature,Land_and_Topography
刻,660,engrave:cut fine:chop:hash:mince:time:carving,亠刂,,,
国,661,country,丶囗玉,country,People,Groups
黒,662,black,里灬,black,Physical_Attributes_and_Properties,Colours
穀,663,cereals:grain,冖士殳禾,cereal,Food_and_Drink,
酷,664,cruel:severe:atrocious:unjust,丿口土酉,,,
獄,665,prison:jail,犬言犭,,,
骨,666,skeleton:bone:remains:frame,冂冖月,bone,Body,Body_General
駒,667,pony:horse:colt,勹口馬,,,
込,668,crowded:mixture:in bulk:included:(kokuji),入辶,,,
頃,669,time:about:toward,匕貝頁,"time, about",Time,
今,670,now,个,now,Time,
困,671,quandary:become distressed:annoyed,囗木,,,
昆,672,descendants:elder brother:insect,日比,descendants,People,Family
恨,673,regret:bear a grudge:resentment:malice:hatred,艮忄,resentment,Emotions_and_Senses,Emotions
根,674,root:radical:head (pimple),木艮,root,Nature,Plants_and_Trees
婚,675,marriage,女日氏,marry,People,Family
混,676,mix:blend:confuse,日比氵,,,
痕,677,mark:foot print,疒艮,scar,Body,Health
紺,678,dark blue:navy,甘糸,dark blue,Physical_Attributes_and_Properties,Colours
魂,679,soul:spirit,二儿匕厶田鬼,soul,Human_activities,Religion_and_the_Supernatural_World
墾,680,ground-breaking:open up farmland,土爪艮豸犭,,,
懇,681,sociable:kind:courteous:hospitable:cordial,心爪艮豸犭,,,
左,682,left,丿工,left,Directions_and_Spatial_Relationships,
佐,683,assistant:help,丿工亻,,,
沙,684,sand,丿小氵,sand,Nature,Natural_Substances
査,685,investigate,木目,,,
砂,686,sand,丿口小石,sand,Nature,Natural_Substances
唆,687,tempt:seduce:instigate:promote,儿厶口夂,,,
差,688,distinction:difference:variation:discrepancy:margin:balance,丿工玉羊丷,,,
詐,689,lie:falsehood:deceive:pretend,｜丿言,,,
鎖,690,chain:irons:connection,貝金尚,chain,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
座,691,squat:seat:cushion:gathering:sit,｜入土广,sit,Body,Actions
挫,692,crush:break:sprain:discourage,｜入土扌,,,
才,693,genius:years old:cubic shaku,丿亅,,,
再,694,again:twice:second time,｜冂玉,,,
災,695,disaster:calamity:woe:curse:evil,巛火,natural disaster,Nature,Weather
妻,696,wife:spouse,｜女彐,wife,People,Roles_and_status
采,697,dice:form:appearance:take:gather:coloring,木爪,,,
砕,698,smash:break:crush:familiar:popular,丿十口石九,,,
宰,699,superintend:manager:rule,十宀立辛,,,
栽,700,plantation:planting,土戈木,the cultivation of plants,Nature,Plants_and_Trees
彩,701,coloring:paint:makeup,彡木爪,brightly coloured,Physical_Attributes_and_Properties,Colours
採,702,pick:take:fetch:take up,木爪扌,,,
済,703,"settle (debt, etc.):relieve (burden):finish:come to an end:excusable:need not",｜丿廾文齊氵,,,
祭,704,ritual:offer prayers:celebrate:deify:enshrine:worship,癶示个,festival,Human_activities,Culture
斎,705,purification:Buddhist food:room:worship:avoid:alike,｜丿廾文示齊,,,
細,706,dainty:get thin:taper:slender:narrow:detailed:precise,田糸,slender,Physical_Attributes_and_Properties,Miscellaneous_properties
菜,707,vegetable:side dish:greens,木爪艹,vegetable,Food_and_Drink,
最,708,utmost:most:extreme,又日耳,,,
裁,709,tailor:judge:decision:cut out (pattern),亠厶土戈衣,,,
債,710,bond:loan:debt,亠土貝亻,bond or debt,Human_activities,Money_and_Commerce
催,711,sponsor:hold (a meeting):give (a dinner),山隹亻,,,
塞,712,close:shut:cover:block:obstruct,八土宀,,,
歳,713,year-end:age:occasion:opportunity,丿小戈止,,,
載,714,ride:board:get on:place:spread:10**44:record:publish,土戈車,,,
際,715,occasion:side:edge:verge:dangerous:adventurous:indecent:time:when,丿癶示阝.,"moment, occasion",Time,
埼,716,cape:spit:promontory,｜口土大,cape or promontory,Nature,Land_and_Topography
在,717,exist:outskirts:suburbs:located in,｜丿土,,,
材,718,lumber:log:timber:wood:materials:ingredients:talent,丿亅木,timber or material,Nature,Natural_Substances
剤,719,dose:medicine:drug,｜丿廾文齊刂,medicine,Body,Health
財,720,property:money:wealth:assets,丿亅貝,wealth,Human_activities,Money_and_Commerce
罪,721,guilt:sin:crime:fault:blame:offense,网非,sin or taboo,Human_activities,Religion_and_the_Supernatural_World
崎,722,promontory:cape:spit,｜口大山,cape or promontory,Nature,Land_and_Topography
作,723,make:production:prepare:build,｜丿亻,,,
削,724,plane:sharpen:whittle:pare:shave,月刂尚,,,
昨,725,yesterday:previous,｜丿日,previous time,Time,
柵,726,stockade:fence:weir:entwine around,｜亅冂木冊,,,
索,727,cord:rope:searching:inquiring,冖十糸,cord,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
策,728,scheme:plan:policy:step:means,｜亅八冂巾木竹,,,
酢,729,vinegar:sour:acid:tart,｜丿酉,vinegar,Food_and_Drink,
搾,730,squeeze,｜丿儿宀穴扌,,,
錯,731,confused:mix:be in disorder,｜日金,,,
咲,732,blossom:bloom,二人口大丷,,,
冊,733,tome:counter for books:volume,｜亅冂廾,counter for books,Numbers,Counters
札,734,tag:paper money:counter for bonds:placard:bid,乙木,banknote,Human_activities,Money_and_Commerce
刷,735,printing:print:brush,尸巾刂,,,
刹,736,temple,木刂,temple,Human_activities,Religion_and_the_Supernatural_World
拶,737,be imminent:draw close,夕巛扌,,,
殺,738,kill:murder:butcher:slice off:split:diminish:reduce:spoil,丶丿木殳,kill,Human_activities,War
察,739,guess:presume:surmise:judge:understand,丿宀癶示,,,
撮,740,snapshot:take pictures,又日耳扌,,,
擦,741,grate:rub:scratch:scrape:chafe:scour,丿宀癶示扌,,,
雑,742,miscellaneous,木隹九,,,
皿,743,dish:a helping:plate,,dish or plate,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
三,744,three,二,3,Numbers,
山,745,mountain,,mountain or peak,Nature,Land_and_Topography
参,746,nonplussed:three (in documents):going:coming:visiting:visit:be defeated:die:be madly in love:participate:take part in,厶彡,,,
桟,747,scaffold:cleat:frame:jetty:bolt (door),丶丿木毛,,,
蚕,748,silkworm,大虫,silkworm,Nature,Animals
惨,749,wretched:disaster:cruelty:harsh,厶彡忄,,,
産,750,products:bear:give birth:yield:childbirth:native:property,丿亠厂生立丷,product,Human_activities,Money_and_Commerce
傘,751,umbrella,人十个,umbrella,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
散,752,scatter:disperse:spend:squander,｜攴月,,,
算,753,calculate:divining:number:abacus:probability,廾目竹,,,
酸,754,acid:bitterness:sour:tart,儿厶夂酉,sour,Emotions_and_Senses,Senses
賛,755,approve:praise:title or inscription on picture:assist:agree with,二亠人大貝,,,
残,756,remainder:leftover:balance,丶丿歹毛,,,
斬,757,beheading:kill:murder,斤車,cut with a sword,Human_activities,War
暫,758,temporarily:a while:moment:long time,斤日車,a while,Time,
士,759,gentleman:scholar:samurai:samurai radical (no. 33),,man or gentleman,People,Roles_and_status
子,760,child:sign of the rat:11PM-1AM:first sign of Chinese zodiac,,child,People,General
支,761,branch:support:sustain:branch radical (no. 65),十又,,,
止,762,stop:halt,,stop,Body,Actions
氏,763,family name:surname:clan,,courtesy title,People,Roles_and_status
仕,764,attend:doing:official:serve,士亻,,,
史,765,history:chronicle,丿口,,,
司,766,director:official:govt office:rule:administer,亅口,,,
四,767,four,儿囗,4,Numbers,
市,768,market:city:town,亠巾,,,
矢,769,dart:arrow,丿大,,,
旨,770,delicious:relish:show a liking for:purport:will:clever:expert,匕日,,,
死,771,death:die,匕夕歹,death,Body,Health
糸,772,thread,小幺,thread,Artificial_Structures_and_Products,Clothing_and_Textiles
至,773,climax:arrive:proceed:reach:attain:result in,厶土,,,
伺,774,pay respects:visit:ask:inquire:question:implore,亅口亻,,,
志,775,intention:plan:resolve:aspire:motive:hopes:shilling,士心,,,
私,776,private:I:me,厶禾,I or me,People,General
使,777,use:send on a mission:order:messenger:envoy:ambassador:cause,丿口亻,messenger,People,Roles_and_status
刺,778,thorn:pierce:stab:prick:sting:calling card,｜亅八冂巾木刂,,,
始,779,commence:begin,厶口女,begin,Time,
姉,780,elder sister,亠女巾,older sister,People,Family
枝,781,bough:branch:twig:limb:counter for branches,十又支木,branch,Nature,Plants_and_Trees
祉,782,welfare:happiness,止礻,,,
肢,783,limb:arms & legs,十又支月,,,
姿,784,figure:form:shape,冫女欠,figure,Physical_Attributes_and_Properties,Form_and_Shape
思,785,think,心田,to think,Emotions_and_Senses,Judgment
指,786,finger:point to:indicate:put into:play (chess):measure (ruler),匕日扌,finger,Body,Limbs
施,787,give:bestow:perform:alms,丿方也,,,
師,788,expert:teacher:master:model:exemplar:army (incl. counter):war,｜口巾,expert,People,Roles_and_status
恣,789,selfish:arbitrary,冫心欠,,,
紙,790,paper,氏糸,paper,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
脂,791,fat:grease:tallow:lard:rosin:gum:tar,匕日月,fat or resin,Nature,Natural_Substances
視,792,inspection:regard as:see:look at,見礻,,,
紫,793,purple:violet,匕止糸,violet,Physical_Attributes_and_Properties,Colours
詞,794,part of speech:words:poetry,亅口言,words,Human_activities,Language_and_Communication
歯,795,tooth:cog,凵止米齒,tooth,Body,Head_and_Neck
嗣,796,heir:succeed,｜亅冂口,,,
試,797,test:try:attempt:experiment:ordeal,工弋言,,,
詩,798,poem:poetry,土寸言,poetry,Human_activities,Culture
資,799,assets:resources:capital:funds:data:be conducive to:contribute to,冫欠貝,capital,Human_activities,Money_and_Commerce
飼,800,domesticate:raise:keep:feed,亅口艮食个,,,
誌,801,document:records,士心言,"document, journal",Human_activities,Language_and_Communication
雌,802,feminine:female,匕止隹,,,
摯,803,gift:seriousness,丶丿十手立辛九,,,
賜,804,grant:gift:boon:results,日貝勿,,,
諮,805,consult with,冫口欠言,,,
示,806,show:indicate:point out:express:display,,,,
字,807,character:letter:word:section of village,子宀,character,Human_activities,Language_and_Communication
寺,808,Buddhist temple,土寸,Buddhist temple,Human_activities,Religion_and_the_Supernatural_World
次,809,next:order:sequence,冫欠,next,Numbers,Counting_&_Sequence
耳,810,ear,,ear,Body,Head_and_Neck
自,811,oneself,,oneself,People,General
似,812,becoming:resemble:counterfeit:imitate:suitable,丶人亻,,,
児,813,newborn babe:child:young of animals,｜儿日,child,People,General
事,814,matter:thing:fact:business:reason:possibly,亅口彐,,,
侍,815,waiter:samurai:wait upon:serve,土寸亻,,,
治,816,reign:be at peace:calm down:subdue:quell:govt:cure:heal:rule:conserve,厶口氵,cure,Body,Health
持,817,hold:have,土寸扌,,,
時,818,time:hour,土寸日,hour,Time,Divisions_of_the_Day
滋,819,nourishing:more & more:be luxuriant:planting:turbidity,幺丷氵,,,
慈,820,mercy,幺心丷,affection or benevolence,Emotions_and_Senses,Emotions
辞,821,resign:word:term:expression,十口立舌辛,word,Human_activities,Language_and_Communication
